model,seed,tok_len,is_perfect,answer,predict,answer_tok,predict_tok
GRU,3,8,1,CNCC(F)F,CNCC(F)F,"['C', 'N', 'C', 'C', '(', 'F', ')', 'F']","['C', 'N', 'C', 'C', '(', 'F', ')', 'F']"
GRU,3,8,0,CCCCOCCO,CCCCOCCO[C@@H]1CCOC1=O,"['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O']","['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', 'O', 'C', '1', '=', 'O']"
GRU,1,10,1,O=C1COCCO1,O=C1COCCO1,"['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']","['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']"
GRU,1,10,0,O=C1CCCOC1,O=C1CCCOC([C@@H]2CCO2)N1,"['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']","['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '(', '[', 'C', '@@', 'H', ']', '2', 'C', 'C', 'O', '2', ')', 'N', '1']"
GRU,1,10,0,CCCCCCCCCF,CCCCCCCC[C@H](F)C1CC1,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', '[', 'C', '@', 'H', ']', '(', 'F', ')', 'C', '1', 'C', 'C', '1']"
GRU,1,10,0,O=c1cccco1,O=c1ccccn1[C@@H]1CC1,"['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']","['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'n', '1', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', '1']"
GRU,1,10,0,N=C(N)NN=O,N=C(N)NN[C@@H]1CC1,"['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'O']","['N', '=', 'C', '(', 'N', ')', 'N', 'N', '[', 'C', '@@', 'H', ']', '1', 'C', 'C', '1']"
GRU,1,10,0,O=CNCCNC=O,O=CNCCNC(=O)[C@@H](F)CF,"['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']","['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'F', ')', 'C', 'F']"
GRU,2,10,0,O=C1COCCO1,O=C1COCC(C)(C)[C@@H]1CO,"['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']","['O', '=', 'C', '1', 'C', 'O', 'C', 'C', '(', 'C', ')', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', 'C', 'O']"
GRU,2,10,0,O=C1CCCOC1,O=C1CCC(F)(c2ccc[nH]2)C(=O)O1,"['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']","['O', '=', 'C', '1', 'C', 'C', 'C', '(', 'F', ')', '(', 'c', '2', 'c', 'c', 'c', '[', 'n', 'H', ']', '2', ')', 'C', '(', '=', 'O', ')', 'O', '1']"
GRU,2,10,0,CCCCCCCCCF,CCCCCCCCC[C@@H](F)C(F)(F)F,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', '[', 'C', '@@', 'H', ']', '(', 'F', ')', 'C', '(', 'F', ')', '(', 'F', ')', 'F']"
GRU,2,10,0,O=c1cccco1,O=c1occnc1-c1ccccc1F,"['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']","['O', '=', 'c', '1', 'o', 'c', 'c', 'n', 'c', '1', '-', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', 'F']"
GRU,2,10,0,N=C(N)NN=O,N=C(N)NN=Cc1cc[nH]c1[N+](=O)[O-],"['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'O']","['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'C', 'c', '1', 'c', 'c', '[', 'n', 'H', ']', 'c', '1', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']']"
GRU,2,10,0,O=CNCCNC=O,O=CNCCNC(=O)c1cc([N+](=O)[O-])c[nH]1,"['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']","['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', 'c', '1', 'c', 'c', '(', '[', 'N', '+', ']', '(', '=', 'O', ')', '[', 'O', '-', ']', ')', 'c', '[', 'n', 'H', ']', '1']"
GRU,3,10,0,O=C1COCCO1,O=C1COCCO[C@H]1C1CCOCC1,"['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']","['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '[', 'C', '@', 'H', ']', '1', 'C', '1', 'C', 'C', 'O', 'C', 'C', '1']"
GRU,3,10,0,O=C1CCCOC1,O=C1CCCOCC1,"['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']","['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', 'C', '1']"
GRU,3,10,1,CCCCCCCCCF,CCCCCCCCCF,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']"
GRU,3,10,1,O=c1cccco1,O=c1cccco1,"['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']","['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']"
GRU,3,10,0,N=C(N)NN=O,N=C(N)NN=C[C@H]1C[C@@H](N)[C@@H]1C(=O)O,"['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'O']","['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'C', '[', 'C', '@', 'H', ']', '1', 'C', '[', 'C', '@@', 'H', ']', '(', 'N', ')', '[', 'C', '@@', 'H', ']', '1', 'C', '(', '=', 'O', ')', 'O']"
GRU,3,10,1,O=CNCCNC=O,O=CNCCNC=O,"['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']","['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']"
Transformer,1,5,1,C=CCN,C=CCN,"['C', '=', 'C', 'C', 'N']","['C', '=', 'C', 'C', 'N']"
Transformer,2,5,1,C=CCN,C=CCN,"['C', '=', 'C', 'C', 'N']","['C', '=', 'C', 'C', 'N']"
Transformer,3,5,1,C=CCN,C=CCN,"['C', '=', 'C', 'C', 'N']","['C', '=', 'C', 'C', 'N']"
Transformer,1,7,0,c1cnoc1,c1con1,"['c', '1', 'c', 'n', 'o', 'c', '1']","['c', '1', 'c', 'o', 'n', '1']"
Transformer,2,7,1,c1cnoc1,c1cnoc1,"['c', '1', 'c', 'n', 'o', 'c', '1']","['c', '1', 'c', 'n', 'o', 'c', '1']"
Transformer,3,7,1,c1cnoc1,c1cnoc1,"['c', '1', 'c', 'n', 'o', 'c', '1']","['c', '1', 'c', 'n', 'o', 'c', '1']"
Transformer,1,8,1,CNCC(F)F,CNCC(F)F,"['C', 'N', 'C', 'C', '(', 'F', ')', 'F']","['C', 'N', 'C', 'C', '(', 'F', ')', 'F']"
Transformer,1,8,1,CCCCOCCO,CCCCOCCO,"['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O']","['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O']"
Transformer,2,8,1,CNCC(F)F,CNCC(F)F,"['C', 'N', 'C', 'C', '(', 'F', ')', 'F']","['C', 'N', 'C', 'C', '(', 'F', ')', 'F']"
Transformer,2,8,1,CCCCOCCO,CCCCOCCO,"['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O']","['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O']"
Transformer,3,8,1,CNCC(F)F,CNCC(F)F,"['C', 'N', 'C', 'C', '(', 'F', ')', 'F']","['C', 'N', 'C', 'C', '(', 'F', ')', 'F']"
Transformer,3,8,1,CCCCOCCO,CCCCOCCO,"['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O']","['C', 'C', 'C', 'C', 'O', 'C', 'C', 'O']"
Transformer,1,10,1,O=C1COCCO1,O=C1COCCO1,"['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']","['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']"
Transformer,1,10,1,O=C1CCCOC1,O=C1CCCOC1,"['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']","['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']"
Transformer,1,10,1,CCCCCCCCCF,CCCCCCCCCF,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']"
Transformer,1,10,1,O=c1cccco1,O=c1cccco1,"['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']","['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']"
Transformer,1,10,0,N=C(N)NN=O,N=C(NN)N=O,"['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'O']","['N', '=', 'C', '(', 'N', 'N', ')', 'N', '=', 'O']"
Transformer,1,10,1,O=CNCCNC=O,O=CNCCNC=O,"['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']","['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']"
Transformer,2,10,1,O=C1COCCO1,O=C1COCCO1,"['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']","['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']"
Transformer,2,10,1,O=C1CCCOC1,O=C1CCCOC1,"['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']","['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']"
Transformer,2,10,1,CCCCCCCCCF,CCCCCCCCCF,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']"
Transformer,2,10,1,O=c1cccco1,O=c1cccco1,"['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']","['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']"
Transformer,2,10,0,N=C(N)NN=O,N=C(N)N=N,"['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'O']","['N', '=', 'C', '(', 'N', ')', 'N', '=', 'N']"
Transformer,2,10,1,O=CNCCNC=O,O=CNCCNC=O,"['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']","['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']"
Transformer,3,10,1,O=C1COCCO1,O=C1COCCO1,"['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']","['O', '=', 'C', '1', 'C', 'O', 'C', 'C', 'O', '1']"
Transformer,3,10,1,O=C1CCCOC1,O=C1CCCOC1,"['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']","['O', '=', 'C', '1', 'C', 'C', 'C', 'O', 'C', '1']"
Transformer,3,10,0,CCCCCCCCCF,CCCCCCCCF,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F']"
Transformer,3,10,1,O=c1cccco1,O=c1cccco1,"['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']","['O', '=', 'c', '1', 'c', 'c', 'c', 'c', 'o', '1']"
Transformer,3,10,1,N=C(N)NN=O,N=C(N)NN=O,"['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'O']","['N', '=', 'C', '(', 'N', ')', 'N', 'N', '=', 'O']"
Transformer,3,10,1,O=CNCCNC=O,O=CNCCNC=O,"['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']","['O', '=', 'C', 'N', 'C', 'C', 'N', 'C', '=', 'O']"
